_unit_id,airline,text
681448150,Virgin America,@VirginAmerica What @dhepburn said.
681448153,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.
681448156,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!
681448158,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
681448159,Virgin America,@VirginAmerica and it's a really big bad thing about it
681448162,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"
681448165,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this �ear worm�۝ won�۪t go away :)"
681448167,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"
681448169,Virgin America,"@virginamerica Well, I didn't�_but NOW I DO! :-D"
681448171,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."
681448174,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24
681448176,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D
681448178,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p
681448181,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn
681448182,Virgin America,@VirginAmerica Thanks!
681448184,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.
681448186,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo
681448188,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
681448190,Virgin America,I �_� flying @VirginAmerica. �_�ԍ
681448192,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.
681448194,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???
681448197,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA
681448199,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.
681448201,Virgin America,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?
681448204,Virgin America,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _� I want free internet
681448206,Virgin America,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.
681448208,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
681448211,Virgin America,@VirginAmerica do you miss me? Don't worry we'll be together very soon.
681448213,Virgin America,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
681448214,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
681448218,Virgin America,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _�"
681448221,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
681448223,Virgin America,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
681448225,Virgin America,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
681448228,Virgin America,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
681448230,Virgin America,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
681448235,Virgin America,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _�ω� #MoodlitMonday
681448239,Virgin America,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
681448241,Virgin America,@VirginAmerica when can I book my flight to Hawaii??
681448243,Virgin America,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
681448245,Virgin America,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
681448247,Virgin America,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
681448249,Virgin America,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _ٍ�_�ԍ_�ռ�
681448251,Virgin America,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
681448254,Virgin America,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
681448256,Virgin America,@VirginAmerica I'm #elevategold for a good reason: you rock!!
681448258,Virgin America,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
681448260,Virgin America,@VirginAmerica wow this just blew my mind
681448262,Virgin America,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
681448264,Virgin America,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
681448265,Virgin America,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
681448267,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
681448269,Virgin America,@VirginAmerica wish you flew out of Atlanta... Soon?
681448271,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
681448273,Virgin America,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
681448275,Virgin America,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
681448278,Virgin America,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
681448280,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _�_
681448282,Virgin America,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
681448284,Virgin America,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
681448288,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
681448290,Virgin America,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
681448292,Virgin America,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _�_�"
681448295,Virgin America,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
681448297,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
681448299,Virgin America,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
681448302,Virgin America,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
681448303,Virgin America,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
681448306,Virgin America,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
681448308,Virgin America,@VirginAmerica everything was fine until you lost my bag
