_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
681448150,FALSE,finalized,3,2/25/15 5:24,neutral,1,,,Virgin America,,cairdin,,0,,2/24/15 11:35,5.70306E+17,,Eastern Time (US & Canada)
681448153,FALSE,finalized,3,2/25/15 1:53,positive,0.3486,,0,Virgin America,,jnardino,,0,,2/24/15 11:15,5.70301E+17,,Pacific Time (US & Canada)
681448156,FALSE,finalized,3,2/25/15 10:01,neutral,0.6837,,,Virgin America,,yvonnalynn,,0,,2/24/15 11:15,5.70301E+17,Lets Play,Central Time (US & Canada)
681448158,FALSE,finalized,3,2/25/15 3:05,negative,1,Bad Flight,0.7033,Virgin America,,jnardino,,0,,2/24/15 11:15,5.70301E+17,,Pacific Time (US & Canada)
681448159,FALSE,finalized,3,2/25/15 5:50,negative,1,Can't Tell,1,Virgin America,,jnardino,,0,,2/24/15 11:14,5.70301E+17,,Pacific Time (US & Canada)
681448162,FALSE,finalized,3,2/25/15 9:10,negative,1,Can't Tell,0.6842,Virgin America,,jnardino,,0,,2/24/15 11:14,5.70301E+17,,Pacific Time (US & Canada)
681448165,FALSE,finalized,3,2/25/15 8:11,positive,0.6745,,0,Virgin America,,cjmcginnis,,0,,2/24/15 11:13,5.70301E+17,San Francisco CA,Pacific Time (US & Canada)
681448167,FALSE,finalized,3,2/25/15 2:11,neutral,0.634,,,Virgin America,,pilot,,0,,2/24/15 11:12,5.703E+17,Los Angeles,Pacific Time (US & Canada)
681448169,FALSE,finalized,3,2/25/15 9:01,positive,0.6559,,,Virgin America,,dhepburn,,0,,2/24/15 11:11,5.703E+17,San Diego,Pacific Time (US & Canada)
681448171,FALSE,finalized,3,2/25/15 4:15,positive,1,,,Virgin America,,YupitsTate,,0,,2/24/15 10:53,5.70295E+17,Los Angeles,Eastern Time (US & Canada)
681448174,FALSE,finalized,3,2/25/15 8:34,neutral,0.6769,,0,Virgin America,,idk_but_youtube,,0,,2/24/15 10:48,5.70294E+17,1/1 loner squad,Eastern Time (US & Canada)
681448176,FALSE,finalized,3,2/25/15 2:03,positive,1,,,Virgin America,,HyperCamiLax,,0,,2/24/15 10:30,5.7029E+17,NYC,America/New_York
681448178,FALSE,finalized,3,2/25/15 2:13,positive,1,,,Virgin America,,HyperCamiLax,,0,,2/24/15 10:30,5.7029E+17,NYC,America/New_York
681448181,FALSE,finalized,3,2/25/15 5:39,positive,0.6451,,,Virgin America,,mollanderson,,0,,2/24/15 10:21,5.70287E+17,,Eastern Time (US & Canada)
681448182,FALSE,finalized,3,2/25/15 7:33,positive,1,,,Virgin America,,sjespers,,0,,2/24/15 10:15,5.70286E+17,"San Francisco, CA",Pacific Time (US & Canada)
681448184,FALSE,finalized,3,2/25/15 3:11,negative,0.6842,Late Flight,0.3684,Virgin America,,smartwatermelon,,0,,2/24/15 10:01,5.70282E+17,"palo alto, ca",Pacific Time (US & Canada)
